entity,topic,classification,document_reference,custom_id,speech_id,location,request_idx,speech_narrative_id,entity_type,entity_speech_narrative_id
decrease in aggregate demand,output,lower,,speech_16651_narr_16651_6_effect_98,16651,domestic,98,16651_6,effect,decrease in aggregate demand|16651_6
inflation expectations,inflation,normal,,speech_16651_narr_16651_7_cause_99,16651,domestic,99,16651_7,cause,inflation expectations|16651_7
inflation outcomes,inflation,normal,,speech_16651_narr_16651_7_effect_99,16651,domestic,99,16651_7,effect,inflation outcomes|16651_7
shocks increase costs,inflation,higher,,speech_16651_narr_16651_8_cause_100,16651,domestic,100,16651_8,cause,shocks increase costs|16651_8
persistent rise in desired mark-ups,inflation,higher,,speech_16651_narr_16651_8_effect_100,16651,domestic,100,16651_8,effect,persistent rise in desired mark-ups|16651_8
persistent rise in desired mark-ups,inflation,higher,,speech_16651_narr_16651_9_cause_101,16651,domestic,101,16651_9,cause,persistent rise in desired mark-ups|16651_9
increase in inflation,inflation,higher,,speech_16651_narr_16651_9_effect_101,16651,domestic,101,16651_9,effect,increase in inflation|16651_9
inflation expectations,inflation,higher,,speech_16651_narr_16651_10_cause_102,16651,domestic,102,16651_10,cause,inflation expectations|16651_10
higher inflation,inflation,higher,,speech_16651_narr_16651_10_effect_102,16651,domestic,102,16651_10,effect,higher inflation|16651_10
inflation expectations,inflation,higher,,speech_16651_narr_16651_11_cause_103,16651,domestic,103,16651_11,cause,inflation expectations|16651_11
more slack required,output,higher,,speech_16651_narr_16651_11_effect_103,16651,domestic,103,16651_11,effect,more slack required|16651_11
inflation expectations,inflation,higher,,speech_16651_narr_16651_12_cause_104,16651,domestic,104,16651_12,cause,inflation expectations|16651_12
more unemployment,labour market,higher,,speech_16651_narr_16651_12_effect_104,16651,domestic,104,16651_12,effect,more unemployment|16651_12
inflation expectations,inflation,higher,,speech_16651_narr_16651_13_cause_105,16651,domestic,105,16651_13,cause,inflation expectations|16651_13
lower growth,output,lower,,speech_16651_narr_16651_13_effect_105,16651,domestic,105,16651_13,effect,lower growth|16651_13
economic slack,output,normal,,speech_16651_narr_16651_14_cause_106,16651,domestic,106,16651_14,cause,economic slack|16651_14
prices,inflation,higher,,speech_16651_narr_16651_14_effect_106,16651,domestic,106,16651_14,effect,prices|16651_14
economic slack,output,normal,,speech_16651_narr_16651_15_cause_107,16651,domestic,107,16651_15,cause,economic slack|16651_15
prices fall less in contractions,inflation,lower,,speech_16651_narr_16651_15_effect_107,16651,domestic,107,16651_15,effect,prices fall less in contractions|16651_15
inflation expectations,inflation,normal,,speech_16651_narr_16651_16_cause_108,16651,domestic,108,16651_16,cause,inflation expectations|16651_16
location of the Phillips curve,inflation,normal,,speech_16651_narr_16651_16_effect_108,16651,domestic,108,16651_16,effect,location of the Phillips curve|16651_16
inflation expectations,inflation,higher,,speech_16651_narr_16651_17_cause_109,16651,domestic,109,16651_17,cause,inflation expectations|16651_17
shift in Phillips curve,inflation,higher,,speech_16651_narr_16651_17_effect_109,16651,domestic,109,16651_17,effect,shift in Phillips curve|16651_17
inflation expectations,inflation,higher,,speech_16651_narr_16651_18_cause_110,16651,domestic,110,16651_18,cause,inflation expectations|16651_18
more economic pain required,inflation,higher,,speech_16651_narr_16651_18_effect_110,16651,domestic,110,16651_18,effect,more economic pain required|16651_18
inflation expectations,inflation,higher,,speech_16651_narr_16651_19_cause_111,16651,domestic,111,16651_19,cause,inflation expectations|16651_19
higher inflation,inflation,higher,,speech_16651_narr_16651_19_effect_111,16651,domestic,111,16651_19,effect,higher inflation|16651_19
inflation expectations,inflation,higher,,speech_16651_narr_16651_20_cause_112,16651,domestic,112,16651_20,cause,inflation expectations|16651_20
inflation expectations,inflation,normal,,speech_16651_narr_16651_20_effect_112,16651,domestic,112,16651_20,effect,inflation expectations|16651_20
past inflation,inflation,higher,,speech_16651_narr_16651_21_cause_113,16651,domestic,113,16651_21,cause,past inflation|16651_21
short-term inflation expectations,inflation,higher,,speech_16651_narr_16651_21_effect_113,16651,domestic,113,16651_21,effect,short-term inflation expectations|16651_21
realized inflation,inflation,higher,,speech_16651_narr_16651_22_cause_114,16651,domestic,114,16651_22,cause,realized inflation|16651_22
medium-term measures of inflation expectations,inflation,higher,,speech_16651_narr_16651_22_effect_114,16651,domestic,114,16651_22,effect,medium-term measures of inflation expectations|16651_22
drift in medium-term inflation expectations,inflation,higher,,speech_16651_narr_16651_23_cause_115,16651,domestic,115,16651_23,cause,drift in medium-term inflation expectations|16651_23
medium-term inflation expectations,inflation,higher,,speech_16651_narr_16651_23_effect_115,16651,domestic,115,16651_23,effect,medium-term inflation expectations|16651_23
shock on the economy,other,higher,,speech_16651_narr_16651_24_cause_116,16651,domestic,116,16651_24,cause,shock on the economy|16651_24
short-term inflation expectations,inflation,higher,,speech_16651_narr_16651_24_effect_116,16651,domestic,116,16651_24,effect,short-term inflation expectations|16651_24
recent inflation outcomes,inflation,normal,,speech_16651_narr_16651_25_cause_117,16651,domestic,117,16651_25,cause,recent inflation outcomes|16651_25
short-term expectations,inflation,normal,,speech_16651_narr_16651_25_effect_117,16651,domestic,117,16651_25,effect,short-term expectations|16651_25
price changes over the past 12 months,inflation,higher,,speech_16651_narr_16651_26_cause_118,16651,domestic,118,16651_26,cause,price changes over the past 12 months|16651_26
expectations of price changes over the next 12 months,inflation,higher,,speech_16651_narr_16651_26_effect_118,16651,domestic,118,16651_26,effect,expectations of price changes over the next 12 months|16651_26
massive energy price squeeze,inflation,higher,,speech_16651_narr_16651_27_cause_119,16651,domestic,119,16651_27,cause,massive energy price squeeze|16651_27
financial markets anticipate a worsening macro environment,financial markets,lower,,speech_16651_narr_16651_27_effect_119,16651,domestic,119,16651_27,effect,financial markets anticipate a worsening macro environment|16651_27
tightening of financial conditions,financial markets,higher,,speech_16651_narr_16651_28_cause_120,16651,domestic,120,16651_28,cause,tightening of financial conditions|16651_28
financial markets,financial markets,lower,,speech_16651_narr_16651_28_effect_120,16651,domestic,120,16651_28,effect,financial markets|16651_28
current and anticipated policy choices,interest rates,normal,,speech_16651_narr_16651_29_cause_121,16651,domestic,121,16651_29,cause,current and anticipated policy choices|16651_29
medium-term inflation expectations,inflation,normal,,speech_16651_narr_16651_29_effect_121,16651,domestic,121,16651_29,effect,medium-term inflation expectations|16651_29
monetary policy action,interest rates,normal,,speech_16651_narr_16651_30_cause_122,16651,domestic,122,16651_30,cause,monetary policy action|16651_30
price expectations in the DMP,inflation,normal,,speech_16651_narr_16651_30_effect_122,16651,domestic,122,16651_30,effect,price expectations in the DMP|16651_30
MPC cut rates,interest rates,lower,,speech_16651_narr_16651_31_cause_123,16651,domestic,123,16651_31,cause,MPC cut rates|16651_31
inflation expectations,inflation,higher,,speech_16651_narr_16651_31_effect_123,16651,domestic,123,16651_31,effect,inflation expectations|16651_31
MPC hiked rates,interest rates,higher,,speech_16651_narr_16651_32_cause_124,16651,domestic,124,16651_32,cause,MPC hiked rates|16651_32
inflation expectations,inflation,lower,,speech_16651_narr_16651_32_effect_124,16651,domestic,124,16651_32,effect,inflation expectations|16651_32
current wholesale energy prices are passed-on to households and firms,inflation,higher,,speech_16651_narr_16651_33_cause_125,16651,domestic,125,16651_33,cause,current wholesale energy prices are passed-on to households and firms|16651_33
enormous pain for millions of people over the winter months,inflation,higher,,speech_16651_narr_16651_33_effect_125,16651,domestic,125,16651_33,effect,enormous pain for millions of people over the winter months|16651_33
shift in the Phillips curve,inflation,higher,,speech_16651_narr_16651_34_cause_126,16651,domestic,126,16651_34,cause,shift in the Phillips curve|16651_34
acting sooner and more forcefully,interest rates,higher,,speech_16651_narr_16651_34_effect_126,16651,domestic,126,16651_34,effect,acting sooner and more forcefully|16651_34
acting sooner and more forcefully,interest rates,higher,,speech_16651_narr_16651_35_cause_127,16651,domestic,127,16651_35,cause,acting sooner and more forcefully|16651_35
embedding of inflation,inflation,lower,,speech_16651_narr_16651_35_effect_127,16651,domestic,127,16651_35,effect,embedding of inflation|16651_35
increases in Tre moderated through the expectations channel,interest rates,lower,,speech_16651_narr_16651_36_cause_128,16651,domestic,128,16651_36,cause,increases in Tre moderated through the expectations channel|16651_36
less monetary policy tightening needed,interest rates,lower,,speech_16651_narr_16651_36_effect_128,16651,domestic,128,16651_36,effect,less monetary policy tightening needed|16651_36
less monetary policy tightening needed,interest rates,lower,,speech_16651_narr_16651_37_cause_129,16651,domestic,129,16651_37,cause,less monetary policy tightening needed|16651_37
less slowing in aggregate demand,output,higher,,speech_16651_narr_16651_37_effect_129,16651,domestic,129,16651_37,effect,less slowing in aggregate demand|16651_37
less monetary policy tightening needed,interest rates,lower,,speech_16651_narr_16651_38_cause_130,16651,domestic,130,16651_38,cause,less monetary policy tightening needed|16651_38
less rise in unemployment,labour market,lower,,speech_16651_narr_16651_38_effect_130,16651,domestic,130,16651_38,effect,less rise in unemployment|16651_38
persistent misses of the target,inflation,higher,,speech_16651_narr_16651_39_cause_131,16651,domestic,131,16651_39,cause,persistent misses of the target|16651_39
inflation expectations become more backward-looking,inflation,higher,,speech_16651_narr_16651_39_effect_131,16651,domestic,131,16651_39,effect,inflation expectations become more backward-looking|16651_39
inflation expectations become more backward-looking,inflation,higher,,speech_16651_narr_16651_40_cause_132,16651,domestic,132,16651_40,cause,inflation expectations become more backward-looking|16651_40
increased dependence on aggregate demand slowdown,output,higher,,speech_16651_narr_16651_40_effect_132,16651,domestic,132,16651_40,effect,increased dependence on aggregate demand slowdown|16651_40
spikes in short-term inflation expectations,inflation,higher,,speech_16651_narr_16651_41_cause_133,16651,domestic,133,16651_41,cause,spikes in short-term inflation expectations|16651_41
drift in medium-term household inflation expectations,inflation,higher,,speech_16651_narr_16651_41_effect_133,16651,domestic,133,16651_41,effect,drift in medium-term household inflation expectations|16651_41
surging energy and food price dynamics,inflation,higher,,speech_16651_narr_16651_42_cause_134,16651,domestic,134,16651_42,cause,surging energy and food price dynamics|16651_42
drift in medium-term household inflation expectations,inflation,higher,,speech_16651_narr_16651_42_effect_134,16651,domestic,134,16651_42,effect,drift in medium-term household inflation expectations|16651_42
sequence of shocks,inflation,higher,,speech_16651_narr_16651_43_cause_135,16651,domestic,135,16651_43,cause,sequence of shocks|16651_43
extend duration of time above 2% target,inflation,higher,,speech_16651_narr_16651_43_effect_135,16651,domestic,135,16651_43,effect,extend duration of time above 2% target|16651_43
share of backward-looking agents,inflation,higher,,speech_16651_narr_16651_44_cause_136,16651,domestic,136,16651_44,cause,share of backward-looking agents|16651_44
more intrinsic inflation persistence,inflation,higher,,speech_16651_narr_16651_44_effect_136,16651,domestic,136,16651_44,effect,more intrinsic inflation persistence|16651_44
broadening of categories with higher-than-target inflation,inflation,higher,,speech_16651_narr_16651_45_cause_137,16651,domestic,137,16651_45,cause,broadening of categories with higher-than-target inflation|16651_45
upward-bias to wage negotiations,labour market,higher,,speech_16651_narr_16651_45_effect_137,16651,domestic,137,16651_45,effect,upward-bias to wage negotiations|16651_45
broadening of categories with higher-than-target inflation,inflation,higher,,speech_16651_narr_16651_46_cause_138,16651,domestic,138,16651_46,cause,broadening of categories with higher-than-target inflation|16651_46
me-too-ism in firms pricing strategies,inflation,higher,,speech_16651_narr_16651_46_effect_138,16651,domestic,138,16651_46,effect,me-too-ism in firms pricing strategies|16651_46
ratcheting-up from short-term to medium-term expectations,inflation,higher,,speech_16651_narr_16651_47_cause_139,16651,domestic,139,16651_47,cause,ratcheting-up from short-term to medium-term expectations|16651_47
persistent drift higher,inflation,higher,,speech_16651_narr_16651_47_effect_139,16651,domestic,139,16651_47,effect,persistent drift higher|16651_47
persistent drift higher,inflation,higher,,speech_16651_narr_16651_48_cause_140,16651,domestic,140,16651_48,cause,persistent drift higher|16651_48
cement expectations inconsistent with 2% target,inflation,higher,,speech_16651_narr_16651_48_effect_140,16651,domestic,140,16651_48,effect,cement expectations inconsistent with 2% target|16651_48
cement expectations inconsistent with 2% target,inflation,higher,,speech_16651_narr_16651_49_cause_141,16651,domestic,141,16651_49,cause,cement expectations inconsistent with 2% target|16651_49
persistently tighter stance of monetary policy,interest rates,higher,,speech_16651_narr_16651_49_effect_141,16651,domestic,141,16651_49,effect,persistently tighter stance of monetary policy|16651_49
gradual pace of increase in Bank Rate,interest rates,higher,,speech_16651_narr_16651_50_cause_142,16651,domestic,142,16651_50,cause,gradual pace of increase in Bank Rate|16651_50
embedding of short-term inflation overshoot,inflation,higher,,speech_16651_narr_16651_50_effect_142,16651,domestic,142,16651_50,effect,embedding of short-term inflation overshoot|16651_50
shift outward of the Phillips curve,inflation,higher,,speech_16651_narr_16651_51_cause_143,16651,domestic,143,16651_51,cause,shift outward of the Phillips curve|16651_51
permanently higher unemployment,labour market,higher,,speech_16651_narr_16651_51_effect_143,16651,domestic,143,16651_51,effect,permanently higher unemployment|16651_51
shift outward of the Phillips curve,inflation,higher,,speech_16651_narr_16651_52_cause_144,16651,domestic,144,16651_52,cause,shift outward of the Phillips curve|16651_52
lower aggregate demand,output,lower,,speech_16651_narr_16651_52_effect_144,16651,domestic,144,16651_52,effect,lower aggregate demand|16651_52
ratcheting-up and persistently high inflation in the 1970s,inflation,higher,,speech_16651_narr_16651_53_cause_145,16651,global,145,16651_53,cause,ratcheting-up and persistently high inflation in the 1970s|16651_53
long duration of elevated unemployment,labour market,higher,,speech_16651_narr_16651_53_effect_145,16651,domestic,145,16651_53,effect,long duration of elevated unemployment|16651_53
tighter policy stance now,interest rates,higher,,speech_16651_narr_16651_54_cause_146,16651,domestic,146,16651_54,cause,tighter policy stance now|16651_54
aggregate demand,output,lower,,speech_16651_narr_16651_54_effect_146,16651,domestic,146,16651_54,effect,aggregate demand|16651_54
Phillips curve,inflation,normal,,speech_16651_narr_16651_55_cause_147,16651,domestic,147,16651_55,cause,Phillips curve|16651_55
price expectations,inflation,normal,,speech_16651_narr_16651_55_effect_147,16651,domestic,147,16651_55,effect,price expectations|16651_55
complementarity in firms price setting,inflation,lower,,speech_16651_narr_16651_56_cause_148,16651,domestic,148,16651_56,cause,complementarity in firms price setting|16651_56
lower macro inflation,inflation,lower,,speech_16651_narr_16651_56_effect_148,16651,domestic,148,16651_56,effect,lower macro inflation|16651_56
monetary policy does not affect expectations formation,interest rates,lower,,speech_16651_narr_16651_57_cause_149,16651,domestic,149,16651_57,cause,monetary policy does not affect expectations formation|16651_57
drift in medium-term expectations yields shift of Phillips curve,inflation,higher,,speech_16651_narr_16651_57_effect_149,16651,domestic,149,16651_57,effect,drift in medium-term expectations yields shift of Phillips curve|16651_57
acting more forcefully now,interest rates,higher,,speech_16651_narr_16651_58_cause_150,16651,domestic,150,16651_58,cause,acting more forcefully now|16651_58
deeper and longer contraction,output,lower,,speech_16651_narr_16651_58_effect_150,16651,domestic,150,16651_58,effect,deeper and longer contraction|16651_58
central projections of the August 2022 Monetary Policy Report,inflation,lower,,speech_16651_narr_16651_59_cause_151,16651,domestic,151,16651_59,cause,central projections of the August 2022 Monetary Policy Report|16651_59
inflation falls to 2 percent,inflation,lower,,speech_16651_narr_16651_59_effect_151,16651,domestic,151,16651_59,effect,inflation falls to 2 percent|16651_59
energy prices follow their futures curves,inflation,lower,,speech_16651_narr_16651_60_cause_152,16651,global,152,16651_60,cause,energy prices follow their futures curves|16651_60
inflation is below target,inflation,lower,,speech_16651_narr_16651_60_effect_152,16651,domestic,152,16651_60,effect,inflation is below target|16651_60
firms faced negative effects from Covid on their sales,output,lower,,speech_16651_narr_16651_61_cause_153,16651,domestic,153,16651_61,cause,firms faced negative effects from Covid on their sales|16651_61
firms decreased their prices by less,inflation,lower,,speech_16651_narr_16651_61_effect_153,16651,domestic,153,16651_61,effect,firms decreased their prices by less|16651_61
firms faced positive effects from Covid on their sales,output,higher,,speech_16651_narr_16651_62_cause_154,16651,domestic,154,16651_62,cause,firms faced positive effects from Covid on their sales|16651_62
firms increased their prices,inflation,higher,,speech_16651_narr_16651_62_effect_154,16651,domestic,154,16651_62,effect,firms increased their prices|16651_62
real rate increases,interest rates,higher,,speech_16651_narr_16651_63_cause_155,16651,domestic,155,16651_63,cause,real rate increases|16651_63
inflation,inflation,lower,,speech_16651_narr_16651_63_effect_155,16651,domestic,155,16651_63,effect,inflation|16651_63
nominal interest rate,interest rates,higher,,speech_16651_narr_16651_64_cause_156,16651,domestic,156,16651_64,cause,nominal interest rate|16651_64
real rate increases,interest rates,higher,,speech_16651_narr_16651_64_effect_156,16651,domestic,156,16651_64,effect,real rate increases|16651_64
high trend inflation,inflation,higher,,speech_16651_narr_16651_65_cause_157,16651,domestic,157,16651_65,cause,high trend inflation|16651_65
conditions for determinacy become more extreme,interest rates,higher,,speech_16651_narr_16651_65_effect_157,16651,domestic,157,16651_65,effect,conditions for determinacy become more extreme|16651_65
central bank increases the nominal rate by a lot more,interest rates,higher,,speech_16651_narr_16651_66_cause_158,16651,domestic,158,16651_66,cause,central bank increases the nominal rate by a lot more|16651_66
determinacy conditions are met,interest rates,higher,,speech_16651_narr_16651_66_effect_158,16651,domestic,158,16651_66,effect,determinacy conditions are met|16651_66
inflation expectations,inflation,lower,,speech_16651_narr_16651_67_cause_159,16651,domestic,159,16651_67,cause,inflation expectations|16651_67
difficulty in stimulating the economy,output,lower,,speech_16651_narr_16651_67_effect_159,16651,domestic,159,16651_67,effect,difficulty in stimulating the economy|16651_67
interest rates,interest rates,lower,,speech_16651_narr_16651_68_cause_160,16651,domestic,160,16651_68,cause,interest rates|16651_68
difficulty in stimulating the economy,output,lower,,speech_16651_narr_16651_68_effect_160,16651,domestic,160,16651_68,effect,difficulty in stimulating the economy|16651_68
introduction of the furlough scheme,labour market,lower,,speech_16651_narr_16651_69_cause_161,16651,domestic,161,16651_69,cause,introduction of the furlough scheme|16651_69
unemployment rate,labour market,normal,,speech_16651_narr_16651_69_effect_161,16651,domestic,161,16651_69,effect,unemployment rate|16651_69
10 percent of furloughed workers were unemployed,labour market,normal,,speech_16651_narr_16651_70_cause_162,16651,domestic,162,16651_70,cause,10 percent of furloughed workers were unemployed|16651_70
unemployment rate would not have exceeded 7 percent,labour market,normal,,speech_16651_narr_16651_70_effect_162,16651,domestic,162,16651_70,effect,unemployment rate would not have exceeded 7 percent|16651_70
energy prices,inflation,higher,,speech_16651_narr_16651_71_cause_163,16651,domestic,163,16651_71,cause,energy prices|16651_71
3 percentage points of current inflation,inflation,higher,,speech_16651_narr_16651_71_effect_163,16651,domestic,163,16651_71,effect,3 percentage points of current inflation|16651_71
energy prices,inflation,higher,,speech_16651_narr_16651_72_cause_164,16651,domestic,164,16651_72,cause,energy prices|16651_72
7 percentage points of inflation,inflation,higher,,speech_16651_narr_16651_72_effect_164,16651,domestic,164,16651_72,effect,7 percentage points of inflation|16651_72
oil prices,geopolitical shocks,higher,,speech_16651_narr_16651_73_cause_165,16651,global,165,16651_73,cause,oil prices|16651_73
inflationary supply shocks,inflation,higher,,speech_16651_narr_16651_73_effect_165,16651,global,165,16651_73,effect,inflationary supply shocks|16651_73
oil prices jumped to 10 US Dollars per barrel,geopolitical shocks,higher,,speech_16651_narr_16651_74_cause_166,16651,global,166,16651_74,cause,oil prices jumped to 10 US Dollars per barrel|16651_74
inflationary supply shocks,inflation,higher,,speech_16651_narr_16651_74_effect_166,16651,global,166,16651_74,effect,inflationary supply shocks|16651_74
announcements of rate changes,interest rates,higher,,speech_16651_narr_16651_75_cause_167,16651,domestic,167,16651_75,cause,announcements of rate changes|16651_75
household expectations,inflation,higher,,speech_16651_narr_16651_75_effect_167,16651,global,167,16651_75,effect,household expectations|16651_75
announcements of asset purchases and forward guidance,financial markets,lower,,speech_16651_narr_16651_76_cause_168,16651,domestic,168,16651_76,cause,announcements of asset purchases and forward guidance|16651_76
reduced footprint on expectations,financial markets,lower,,speech_16651_narr_16651_76_effect_168,16651,domestic,168,16651_76,effect,reduced footprint on expectations|16651_76
expectations,inflation,higher,,speech_16651_narr_16651_77_cause_169,16651,domestic,169,16651_77,cause,expectations|16651_77
inflation,inflation,normal,,speech_16651_narr_16651_77_effect_169,16651,domestic,169,16651_77,effect,inflation|16651_77
Advanced economy central banks increasing policy rates,interest rates,higher,,speech_16652_narr_16652_0_cause_170,16652,global,170,16652_0,cause,Advanced economy central banks increasing policy rates|16652_0
"Policy rate increases by the Federal Reserve, European Central Bank, and Bank of England",interest rates,higher,,speech_16652_narr_16652_0_effect_170,16652,global,170,16652_0,effect,"Policy rate increases by the Federal Reserve, European Central Bank, and Bank of England|16652_0"
Bank of Canada signaling a pause,interest rates,normal,,speech_16652_narr_16652_1_cause_171,16652,global,171,16652_1,cause,Bank of Canada signaling a pause|16652_1
No change in policy rate by the Bank of Canada,interest rates,normal,,speech_16652_narr_16652_1_effect_171,16652,global,171,16652_1,effect,No change in policy rate by the Bank of Canada|16652_1
Bank of Japan maintaining updated yield curve control target,interest rates,normal,,speech_16652_narr_16652_2_cause_172,16652,global,172,16652_2,cause,Bank of Japan maintaining updated yield curve control target|16652_2
No change in policy rate by the Bank of Japan,interest rates,normal,,speech_16652_narr_16652_2_effect_172,16652,global,172,16652_2,effect,No change in policy rate by the Bank of Japan|16652_2
Turning point in data,other,normal,,speech_16652_narr_16652_3_cause_173,16652,domestic,173,16652_3,cause,Turning point in data|16652_3
Inflection in central banks' policy paths,interest rates,higher,,speech_16652_narr_16652_3_effect_173,16652,global,173,16652_3,effect,Inflection in central banks' policy paths|16652_3
Risks of overtightening,interest rates,higher,,speech_16652_narr_16652_4_cause_174,16652,domestic,174,16652_4,cause,Risks of overtightening|16652_4
Fears in market chatter,financial markets,higher,,speech_16652_narr_16652_4_effect_174,16652,global,174,16652_4,effect,Fears in market chatter|16652_4
Stopping too soon,interest rates,lower,,speech_16652_narr_16652_5_cause_175,16652,domestic,175,16652_5,cause,Stopping too soon|16652_5
Fears in market chatter,financial markets,higher,,speech_16652_narr_16652_5_effect_175,16652,global,175,16652_5,effect,Fears in market chatter|16652_5
Data revealing transition points,output,normal,,speech_16652_narr_16652_6_cause_176,16652,domestic,176,16652_6,cause,Data revealing transition points|16652_6
Guidance for monetary policy makers,interest rates,normal,,speech_16652_narr_16652_6_effect_176,16652,domestic,176,16652_6,effect,Guidance for monetary policy makers|16652_6
Calibrating policy,interest rates,normal,,speech_16652_narr_16652_7_cause_177,16652,domestic,177,16652_7,cause,Calibrating policy|16652_7
Impact on inflation,inflation,normal,,speech_16652_narr_16652_7_effect_177,16652,domestic,177,16652_7,effect,Impact on inflation|16652_7
Calibrating policy,interest rates,normal,,speech_16652_narr_16652_8_cause_178,16652,domestic,178,16652_8,cause,Calibrating policy|16652_8
Impact on employment,labour market,normal,,speech_16652_narr_16652_8_effect_178,16652,domestic,178,16652_8,effect,Impact on employment|16652_8
Forecasts from large macroeconomic models,other,normal,,speech_16652_narr_16652_9_cause_179,16652,domestic,179,16652_9,cause,Forecasts from large macroeconomic models|16652_9
Identification of turning points,output,normal,,speech_16652_narr_16652_9_effect_179,16652,domestic,179,16652_9,effect,Identification of turning points|16652_9
Policy spillovers,other,normal,,speech_16652_narr_16652_10_cause_180,16652,global,180,16652_10,cause,Policy spillovers|16652_10
Uncertainties in macroeconomic outcomes,other,higher,,speech_16652_narr_16652_10_effect_180,16652,global,180,16652_10,effect,Uncertainties in macroeconomic outcomes|16652_10
Central banks' decisions,interest rates,normal,,speech_16652_narr_16652_11_cause_181,16652,global,181,16652_11,cause,Central banks' decisions|16652_11
Impact on UK economic situation,other,normal,,speech_16652_narr_16652_11_effect_181,16652,domestic,181,16652_11,effect,Impact on UK economic situation|16652_11
Granular data and higher frequency assessments,inflation,normal,,speech_16652_narr_16652_12_cause_182,16652,domestic,182,16652_12,cause,Granular data and higher frequency assessments|16652_12
Complementation of macro data and forecasts,other,normal,,speech_16652_narr_16652_12_effect_182,16652,domestic,182,16652_12,effect,Complementation of macro data and forecasts|16652_12
"Trust in simple, linear, historically estimated macro-relationships",other,normal,,speech_16652_narr_16652_13_cause_183,16652,domestic,183,16652_13,cause,"Trust in simple, linear, historically estimated macro-relationships|16652_13"
Risk of policy mistake,other,higher,,speech_16652_narr_16652_13_effect_183,16652,domestic,183,16652_13,effect,Risk of policy mistake|16652_13
Granular data and likely asymmetries in the inflation process,inflation,higher,,speech_16652_narr_16652_14_cause_184,16652,domestic,184,16652_14,cause,Granular data and likely asymmetries in the inflation process|16652_14
Vote for a more robust monetary policy path,interest rates,higher,,speech_16652_narr_16652_14_effect_184,16652,domestic,184,16652_14,effect,Vote for a more robust monetary policy path|16652_14
Mismatch between UK labour demand and supply,labour market,higher,,speech_16652_narr_16652_15_cause_185,16652,domestic,185,16652_15,cause,Mismatch between UK labour demand and supply|16652_15
Stronger wage growth,labour market,higher,,speech_16652_narr_16652_15_effect_185,16652,domestic,185,16652_15,effect,Stronger wage growth|16652_15
Stronger wage growth,labour market,higher,,speech_16652_narr_16652_16_cause_186,16652,domestic,186,16652_16,cause,Stronger wage growth|16652_16
Upside risk to inflation,inflation,higher,,speech_16652_narr_16652_16_effect_186,16652,domestic,186,16652_16,effect,Upside risk to inflation|16652_16
OECD's Composite Leading Indicator,output,normal,,speech_16652_narr_16652_17_cause_187,16652,global,187,16652_17,cause,OECD's Composite Leading Indicator|16652_17
Early signals of turning points in business cycles,output,normal,,speech_16652_narr_16652_17_effect_187,16652,global,187,16652_17,effect,Early signals of turning points in business cycles|16652_17
UK indicator's negative deviation from long-term average,output,lower,,speech_16652_narr_16652_18_cause_188,16652,domestic,188,16652_18,cause,UK indicator's negative deviation from long-term average|16652_18
Warning of recession,output,lower,,speech_16652_narr_16652_18_effect_188,16652,domestic,188,16652_18,effect,Warning of recession|16652_18
yield curve inversion,interest rates,higher,,speech_16652_narr_16652_19_cause_189,16652,domestic,189,16652_19,cause,yield curve inversion|16652_19
recession expectation,output,higher,,speech_16652_narr_16652_19_effect_189,16652,domestic,189,16652_19,effect,recession expectation|16652_19
central banks tightening in the short term,interest rates,higher,,speech_16652_narr_16652_20_cause_190,16652,global,190,16652_20,cause,central banks tightening in the short term|16652_20
recession,output,lower,,speech_16652_narr_16652_20_effect_190,16652,domestic,190,16652_20,effect,recession|16652_20
central banks cutting interest rates in the future,interest rates,lower,,speech_16652_narr_16652_21_cause_191,16652,global,191,16652_21,cause,central banks cutting interest rates in the future|16652_21
response to a recession,interest rates,lower,,speech_16652_narr_16652_21_effect_191,16652,domestic,191,16652_21,effect,response to a recession|16652_21
"global energy, food, and goods prices",inflation,lower,,speech_16652_narr_16652_22_cause_192,16652,global,192,16652_22,cause,"global energy, food, and goods prices|16652_22"
deceleration of inflation,inflation,lower,,speech_16652_narr_16652_22_effect_192,16652,domestic,192,16652_22,effect,deceleration of inflation|16652_22
expected weakness in demand relative to supply,output,lower,,speech_16652_narr_16652_23_cause_193,16652,domestic,193,16652_23,cause,expected weakness in demand relative to supply|16652_23
discipline in domestic price and wage setting,labour market,lower,,speech_16652_narr_16652_23_effect_193,16652,domestic,193,16652_23,effect,discipline in domestic price and wage setting|16652_23
large fiscal stimulus in the US,government spending,higher,,speech_16652_narr_16652_24_cause_194,16652,global,194,16652_24,cause,large fiscal stimulus in the US|16652_24
inflationary surges,inflation,higher,,speech_16652_narr_16652_24_effect_194,16652,global,194,16652_24,effect,inflationary surges|16652_24
jump in the Ofgem cap,inflation,higher,,speech_16652_narr_16652_25_cause_195,16652,domestic,195,16652_25,cause,jump in the Ofgem cap|16652_25
spike in UK inflation in April 2022,inflation,higher,,speech_16652_narr_16652_25_effect_195,16652,domestic,195,16652_25,effect,spike in UK inflation in April 2022|16652_25
shift up and steepness of the curve,interest rates,higher,,speech_16652_narr_16652_26_cause_196,16652,domestic,196,16652_26,cause,shift up and steepness of the curve|16652_26
market expectations of the path that the MPC would need to take,interest rates,higher,,speech_16652_narr_16652_26_effect_196,16652,domestic,196,16652_26,effect,market expectations of the path that the MPC would need to take|16652_26
