speech_id,batch_id,cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,claim_id,unique_identifier_speech_batch_claim
16653,6,monetary policy shock,level of real GDP,"The monetary policy shock has a significant, delayed response on the level of real GDP, with a statistically significant peak response of -1.25% after around two years.","The monetary policy shock also has a significant, delayed response on the level of real GDP, which is consistent with the story on monetary policy lags, but also New Keynesian theory that GDP lags inflation. Real GDP barely moves on impact, and slowly falls with a statistically significant peak response of -1.25% after around two years.",statistically significant peak response of -1.25% after around two years,,,present,2,16653_6_2
16653,6,contractionary monetary policy,level of output relative to trend,The results suggest a permanently negative effect of contractionary monetary policy on the level of output relative to trend.,The results also suggest a permanently negative effect of contractionary monetary policy on the level of output relative to trend.,permanently negative effect,"This shouldn't be interpreted as monetary policy scarring activity forever, as in growth rate space, GDP recovers.",,present,3,16653_6_3
16653,6,monetary policy shock,level of CPI,"The effect on the level of CPI is statistically significant and negative, and also instantaneous.","Turning now to the bottom right panel, the effect on the level of CPI is not only statistically significant and negative, but also instantaneous.",statistically significant and negative,,,present,4,16653_6_4
16653,6,exchange rate appreciating on impact,fast pass-through of the monetary tightening,"In the model, the fast pass-through of the monetary tightening likely relies on the exchange rate appreciating on impact.","In the model, the fast pass-through of the monetary tightening likely relies on the exchange rate appreciating on impact.",,likely,,present,5,16653_6_5
16653,6,announced changes in the monetary policy rate,firms revise their price expectations,"Announced changes in the monetary policy rate induce firms to revise their price expectations, with rate hikes inducing a decrease in price expectations and uncertainty surrounding them.","See Di Pace et al. (2023) who analyse firm expectations in particular, and find that announced changes in the monetary policy rate induce firms to revise their price expectations, with rate hikes inducing a decrease in price expectations and uncertainty surrounding them.",,,,present,6,16653_6_6
16653,7,Higher degree of backward-looking inflation expectations,More inflation persistence,A higher degree of backward-lookingness generates more inflation persistence even if the underlying shock is the same.,"In this model, I find that, indeed, a higher degree of backward-lookingness generates more inflation persistence even if the underlying shock is the same.",,,,present,0,16653_7_0
16653,7,Backward-looking inflation expectations,Reduced effectiveness of monetary policy to control inflation,"A given monetary tightening has less of an effect on inflation if expectations formation is mainly backward-looking, detached from demand and supply conditions.","But, crucially, it also changes the effectiveness of monetary policy to control inflation. A given monetary tightening has less of an effect on inflation if expectations formation is mainly backward-looking, detached from demand and supply conditions, which thereby worsens any inflation-activity trade-off in the face of a shock.",,,,present,1,16653_7_1
16653,7,Surge in energy prices,Higher share of backward-looking agents,"The share of backward-looking agents has varied significantly over time, in particular being higher when energy prices surge.","Cornea-Madeira and Madeira (2022) show empirically that for the UK the share of backward-looking agents has varied significantly over time, in particular being higher when energy prices surge.",,,,present,2,16653_7_2
16653,7,Cost-push shock,Exogenous increase in prices,A cost-push shock exogenously increases prices over and above what would be implied by domestic demand conditions.,"Returning to the model, we can trace out the response of our model economy to the same underlying shock: a so-called cost-push shock which exogenously increases prices over and above what would be implied by domestic demand conditions.",,,,present,3,16653_7_3
16653,7,Backward-looking inflation expectations formation,More negative output gap and higher inflation,The behaviours of the output gap and inflation change dramatically when we introduce a modest degree of backward-looking inflation expectations formation. The output gap is more negative for longer which is mirrored in inflation peaking higher and remaining above target for an extended period of time.,The behaviours of the output gap and inflation change dramatically when we introduce a modest degree of backward-looking inflation expectations formation. The output gap is more negative for longer which is mirrored in inflation peaking higher and remaining above target for an extended period of time.,,,,present,4,16653_7_4
16653,7,Increased share of backward-looking firms,Pronounced hump-shaped pattern in output and inflation,Increasing the share of backward-looking agents even more takes this pattern to the extreme. Both output and inflation display a pronounced hump-shaped pattern and are away from equilibrium for the entirety of the plotted period (4 years).,Increasing the share of backward-looking agents even more takes this pattern to the extreme. Both output and inflation display a pronounced hump-shaped pattern and are away from equilibrium for the entirety of the plotted period (4 years).,4 years,,,present,5,16653_7_5
16653,8,More backward-lookingness,Worsened trade-off between inflation and output,"More backward-lookingness worsens the trade-off between inflation and output, with each additional step worsening the trade-off more than the last.","Not only does more backward-lookingness worsen the trade-off between inflation and output, every additional step worsens the trade-off by more than the last.",,,,present,0,16653_8_0
16653,8,Central bank raising nominal rates,Dampened inflation and return to baseline,"In the baseline case with fully forward-looking agents, the central bank raises nominal rates on impact which, due to benign inflation dynamics, is sufficient to raise the real rate which dampens inflation, and quickly both interest rates (and the real economy and inflation) return to baseline.","In the baseline case with fully forward-looking agents, the central bank raises nominal rates on impact which, due to benign inflation dynamics is sufficient to raise the real rate which dampens inflation, and quickly both interest rates (and the real economy and inflation) return to baseline.",,,,present,1,16653_8_1
16653,8,Falling real rate,Added inflation persistence,"Since it is the real rate that determines output in this model, the falling real rate adds to inflation persistence.","Since it is the real rate that determines output in this model, the falling real rate adds to inflation persistence so that, in the latter half of the simulation, the central bank must keep restrictive real rates longer in order to stabilise the economy.",,,,present,2,16653_8_2
16653,8,Increased share of backward-looking firms,Lengthened lags of the monetary transmission mechanism,"As a result of the increased share of backward-looking firms, the speed at which monetary policy can affect realised inflation also changes. In other words, the lags of the monetary transmission mechanism lengthen.","As a result of the increased share of backward-looking firms, the speed at which monetary policy can affect realised inflation also changes. In other words, the lags of the monetary transmission mechanism lengthen as shown by the increasingly long period away from the neutral line in the charts, which is particularly dramatic for the purple economy.",,,,present,3,16653_8_3
16653,8,High share of backward-looking agents,Diminished monetary policy effectiveness,"With a high share of backward-looking agents, monetary policy effectiveness - whether directly on expectations or through the output gap channel - is greatly diminished.","With a high share of backward-looking agents, monetary policy effectiveness - whether directly on expectations or through the output gap channel - is greatly diminished.",,,,present,4,16653_8_4
16653,9,Monetary policy being increasingly restrictive,Return of the inflation rate to target,Monetary policy needs to be increasingly restrictive to return the inflation rate to target when agents are increasingly backward-looking.,The model in Chart 9 shows the extent to which monetary policy needs to be increasingly restrictive to return the inflation rate to target when agents increasingly are backward-looking.,,,,futur,0,16653_9_0
16653,9,Sequence of large inflationary shocks,Increased risk of being in the purple world,"The world has been hit by a sequence of large inflationary shocks, which have increased the risk of being in the purple world.","We have to remember that the world has been hit by a sequence of large inflationary shocks, which have increased the risk of being in the purple world.",,I am not saying we are at that point yet or that we will necessarily get there given what we know now.,,present,1,16653_9_1
16653,9,Weighing inflation more highly in reaction function,Reduced risk of ending up in the purple world,"To reduce the risk of ending up in the purple world, we should weigh inflation more highly in our reaction function.","To reduce the risk of ending up in the purple world, we should weigh inflation more highly in our reaction function.",,,,futur,2,16653_9_2
16653,9,Degree of backward- or forward-lookingness in expectations formation,Effectiveness of monetary policy,The degree of backward- or forward-lookingness in expectations formation influences the effectiveness of monetary policy.,"I have also reviewed factors that may change these relationships - change the long and variable lags - including a) that there has been a sequence of shocks, b) that the transmission from monetary policy to financial markets has been quick, but not all in the direction of tightening, and c) that the degree of backward- or forward-lookingness in expectations formation influences the effectiveness of monetary policy.",,,,present,3,16653_9_3
16653,9,Greater degree of front-loading,Reduced risk of an increasing share of backward-looking households and firms,A greater degree of front-loading would have reduced the risk of an increasing share of backward-looking households and firms.,"Looking back to my speech from just under a year ago (Mann, 2022a), in the face of two shocks, and given what was already in-train regarding inflation expectations and the collected research on policy effectiveness in the face of inflation uncertainties, a greater degree of front-loading would have reduced the risk of an increasing share of backward-looking households and firms.",,,,past,4,16653_9_4
16653,9,Monetary policy path being historically aggressive,Insufficient relative to multiple shocks and behaviours pushing up inflation,"Monetary policy has taken a path which has been historically aggressive, but perhaps insufficiently so relative to the multiple shocks, the behaviours pushing up inflation, and the initial accommodative starting point.","In the end, monetary policy has taken a path which has been historically aggressive, but perhaps insufficiently so relative to the multiple shocks, the behaviours pushing up inflation, and the initial accommodative starting point.",,perhaps,,past,5,16653_9_5
16653,9,Transmission of monetary policy to financial markets being quick,Financial conditions being looser than needed,"The stage was set for a transmission of monetary policy to financial markets that has been quick, but also has been partially absorbed. Collectively, all this adds up to financial conditions that are now looser than what likely will be needed to moderate the embedding of on-going inflation into the wage- and price-setting paths.","The stage was set for a transmission of monetary policy to financial markets that has been quick, but also has been partially absorbed. And also, having a shorter horizon and being more forward-looking than households and firms, markets are already incorporating the expected future inflection in monetary stance. Collectively, all this adds up to financial conditions that are now looser than what likely will be needed to moderate the embedding of on-going inflation into the wage- and price-setting paths.",,likely,,present,6,16653_9_6
16653,9,Extended persistence of inflation,Increased degree of backward-lookingness or catch-up behaviour,"The resulting long period of time above the 2% target could increase the degree of backward-lookingness, or catch-up behaviour, in the system.","I worry that this constellation could yield extended persistence of inflation into this year and the next. The resulting long period of time above the 2% target could increase the degree of backward-lookingness, or catch-up behaviour, in the system.",,could,into this year and the next,futur,7,16653_9_7
16653,9,Risk of increasingly persistent inflation,More tightening needed,"Given that the risk of increasingly persistent inflation rises disproportionately with the share of backward-lookingness, I believe that more tightening is needed.","Given that the risk of increasingly persistent inflation rises disproportionately with the share of backward-lookingness, I believe that more tightening is needed, and caution that a pivot is not imminent.",,I believe,,futur,8,16653_9_8
16653,9,Failing to do enough now,Higher inflation and lower activity of the purple regime,Failing to do enough now risks the worst of both worlds - the higher inflation and lower activity of the purple regime - as monetary policy will have to stay tighter for longer to ensure that inflation returns sustainably back to the 2% target.,Failing to do enough now risks the worst of both worlds - the higher inflation and lower activity of the purple regime - as monetary policy will have to stay tighter for longer to ensure that inflation returns sustainably back to the 2% target.,,,,futur,9,16653_9_9
