cause_entity,effect_entity,relationship,document_reference,quantifications,modulator_uncertainty,modulator_temporal,tense,custom_id,speech_id,batch_id,speech_narrative_id
US tightening,trade-off inducing for the UK,US tightening affects UK through trade-off between inflation and other factors,These cross-checks yield the same result that a US tightening is trade-off inducing for the UK as the inflationary effect dominates in the near term.,NA,NA,in the near term,PRESENT,speech_16650_batch_3,16650,batch_6956d9728be88190833808f1da2d2ed3,16650_36
inflation expectations,Phillips curve,affect,Catherine L. Mann describes how inflation expectations affect the Phillips curve.,NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_0
Monetary Policy Committee raising interest rates,increased borrowing costs for firms and households,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_1
increased borrowing costs for firms and households,reduced spending by firms and households,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_2
reduced spending by firms and households,increased unemployment and slack,causes,"To bring inflation down, when the MPC raises interest rates, it increases borrowing costs for firms and households causing them to spend less, unemployment eventually rises and slack opens up.",NA,NA,NA,FUTURE,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_3
increased unemployment and slack,companies adjusting prices,causes,Only then do companies adjust prices in response to slowing demand for their goods and services.,NA,NA,NA,FUTURE,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_4
Monetary policy,influence on inflation expectations,can affect,"In this more complex formulation, monetary policy, by having an expected effect on macroeconomic outcomes, can feed back to affect the inflation expectations process and therefore current inflation outcomes.",NA,can,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_5
shocks driving inflation away from target,firms and households using backward-looking rule,causes,"But, when shocks drive inflation away from target for extended periods and the fundamental rule produces larger forecast errors, more firms and households use the backward-looking rule to form adaptive expectations.",NA,NA,for extended periods,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_6
firms facing bankruptcy,raising prices to generate revenues,may cause,"Firms facing bankruptcy may raise prices to generate revenues to pay debtors, even if reducing prices might make more sense in theory (Gilchrist et al., 2017).",NA,may,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_7
nominal wage rigidity,downward rigidity of prices,bolsters,"Nominal wage rigidity is well known and since labour is an important cost this will bolster the downward rigidity of prices (Daly & Hobijn, 2014).",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_8
inflation expectations drifting up,higher inflation,causes,"On the flipside, holding the level of slack constant at the old y* will lead to higher inflation (the intersection of the vertical dotted line with the red curve).",NA,NA,NA,FUTURE,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_9
economic slack,prices rising more in expansions than falling in contractions,causes,"All told, for a given change in economic slack, prices will rise more in expansions than they would fall in contractions.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_10
shocks increasing costs for some firms,persistent rise in desired mark-ups,causes,"If a series of large and salient shocks increase costs for some but not others, this me-too-ism would show up as a persistent rise in desired mark-ups, driving inflation upwards with seemingly no connection to cost or demand conditions.",NA,NA,NA,PRESENT,speech_16651_batch_0,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_11
inflation expectations are time-varying,monetary policy affects inflation expectations,Monetary policy can directly influence inflation expectations when they vary over time.,"There is another way: When inflation expectations are time-varying monetary policy can affect them directly, shifting the curve back towards the fundamental equilibrium tt* and y* via both movements along the curve but also shifting it.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_12
past inflation,short-term inflation expectations are elevated,Short-term inflation expectations reflect past inflation.,Second: Short-term inflation expectations are worryingly elevated but mostly reflect past inflation and are likely not a good guide for policy choices or outcomes in real time.,NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_13
realized inflation,medium-term measures of inflation expectations have drifted up,Medium-term inflation expectations have increased alongside realized inflation.,"Third, of significant concern: Medium-term measures of inflation expectations have drifted up alongside realized inflation, albeit not by as much.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_14
drift in medium-term inflation expectations,monetary policy needs to lean against it,Monetary policy needs to counteract the drift in medium-term inflation expectations.,A drift in medium-term inflation expectations is the development that monetary policy needs to firmly lean against and it should be a key yardstick for whether the MPCs decisions are effective.,NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_15
shock,short-term inflation expectations reflect the direct impact,Short-term inflation expectations reflect the direct impact of the shock on the economy.,"In the very short run, roughly up to the 1-year horizon, they mostly reflect the direct impact of the shock on the economy.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_16
recent inflation outcomes,short-term expectations are correlated,Short-term expectations are correlated with recent inflation outcomes.,"Short-term expectations are, therefore, quite correlated with recent inflation outcomes as can be seen, for example, from price expectations of firms in the Decision Maker Panel.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_17
price changes over the past 12 months,expectations of price changes over the next 12 months have increased,Expectations of price changes over the next 12 months have increased by similar amounts as price changes over the past 12 months.,"As Chart 4 shows, expectations of price changes over the next 12 months have increased by similar amounts as price changes over the past 12 months.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_18
massive energy price squeeze and tightening of financial conditions,financial markets anticipate a worsening macro environment,Financial markets anticipate a worsening macro environment due to the massive energy price squeeze and tightening of financial conditions.,"Financial markets, being more forward looking, anticipate a worsening macro environment resulting from the massive energy price squeeze and also the tightening of financial conditions that they, to a degree, are responsible for.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_19
current and anticipated policy choices,medium-term inflation expectations reflect these choices,Medium-term inflation expectations reflect the effects of current and anticipated policy choices.,"Therefore, expectations at that point mainly reflect possible second- and third-round effects as well as, importantly, the effects of current and anticipated policy choices.",NA,NA,NA,PRESENT,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_20
monetary policy action,price expectations in the DMP,Monetary policy action affects price expectations in the DMP.,"A forthcoming working paper by Bank researchers (Mangiante & Masolo, 2022) explores the effect of monetary policy action on price expectations in the DMP.",NA,NA,NA,FUTURE,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_21
MPC cut rates,inflation expectations increased,Inflation expectations increased when the MPC cut rates.,"In all three instances they find a significant effect of the announcement on price expectations in line with theory: on 11 March 2020, when the MPC cut rates, inflation expectations increased within the survey round; conversely, in December 2021 and in March 2022, when the MPC hiked rates, expectations fell within the round.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_22
MPC hiked rates,inflation expectations fell,Inflation expectations fell when the MPC hiked rates.,"In all three instances they find a significant effect of the announcement on price expectations in line with theory: on 11 March 2020, when the MPC cut rates, inflation expectations increased within the survey round; conversely, in December 2021 and in March 2022, when the MPC hiked rates, expectations fell within the round.",NA,NA,NA,PAST,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_23
current wholesale energy prices passed on to households and firms,enormous pain for millions of people over the winter months,Passing current wholesale energy prices to households and firms will cause enormous pain for millions of people over the winter months.,"Clearly, if current wholesale energy prices are allowed to be passed-on to households and firms, this will lead to enormous pain for millions of people over the winter months.",NA,NA,over the winter months,FUTURE,speech_16651_batch_1,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_24
shift in the Phillips curve,embedding of inflation,acting sooner and more forcefully can short-circuit,Recognising the potential for a shift in the Phillips curve shows how acting sooner and more forcefully can short-circuit the embedding of inflation by influencing the Tre term.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_25
increases in Tre moderated through expectations channel,less of a slowing in aggregate demand,reduces the degree of monetary policy tightening needed,To the extent that increases in Tre are moderated through the expectations channel then the degree of monetary policy tightening needed to achieve the 2% objective is consistent with less of a slowing in aggregate demand and less of a rise in unemployment.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_26
increases in Tre moderated through expectations channel,less of a rise in unemployment,reduces the degree of monetary policy tightening needed,To the extent that increases in Tre are moderated through the expectations channel then the degree of monetary policy tightening needed to achieve the 2% objective is consistent with less of a slowing in aggregate demand and less of a rise in unemployment.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_27
persistent misses of the target,more backward-looking inflation expectations,causes,"If inflation expectations were to become more backward-looking due to persistent misses of the target, this would require an increased dependence on an aggregate demand slowdown to achieve the 2% inflation target.",NA,If,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_28
more backward-looking inflation expectations,increased dependence on aggregate demand slowdown,requires,"If inflation expectations were to become more backward-looking due to persistent misses of the target, this would require an increased dependence on an aggregate demand slowdown to achieve the 2% inflation target.",NA,If,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_29
spikes in short-term inflation expectations,drift in medium-term household inflation expectations,matter due to salience of surging energy and food price dynamics,The spikes in short-term inflation expectations matter for medium-term household inflation expectations due to the salience of surging energy and food price dynamics.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_30
sequence of shocks,extended duration of time above 2% target,collectively extend,"The sequence of shocks matter, because collectively they extend the duration of time above the 2% target.",NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_31
share of backward-looking agents rises,more intrinsic inflation persistence,leads to,"In such a case, the share of backward-looking agents likely rises leading to more intrinsic inflation persistence.",NA,likely,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_32
broadening of categories with higher-than-target inflation,upward-bias to wage negotiations,matters for medium-term expectations,The broadening of categories that show higher-than-target inflation matters for medium-term expectations because of upward-bias to wage negotiations and me-too-ism associated with complementarity in firms pricing strategies.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_33
broadening of categories with higher-than-target inflation,me-too-ism in firms pricing strategies,matters for medium-term expectations,The broadening of categories that show higher-than-target inflation matters for medium-term expectations because of upward-bias to wage negotiations and me-too-ism associated with complementarity in firms pricing strategies.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_34
ratcheting-up from short-term to medium-term expectations,persistent drift higher,could portend,"The ratcheting-up from short-term to medium-term expectations has been apparent for a while, and could portend a persistent drift higher.",NA,could,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_35
persistent drift higher in expectations,necessitate persistently tighter stance of monetary policy,has the potential to cement expectations inconsistent with 2% target,This has the potential to cement expectations inconsistent with the 2% target which would necessitate a persistently tighter stance of monetary policy that works through the aggregate demand channel.,NA,has the potential,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_36
gradual pace of increase in Bank Rate,embedding of short-term inflation overshoot into persistent drift in medium-term expectations,has not tempered expectations enough,"When thinking about the tightening undertaken to date, my concern is that the gradual pace of increase in Bank Rate has not tempered expectations enough, allowing the embedding of the short-term inflation overshoot into the persistent drift in medium-term expectations.",NA,NA,NA,PAST,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_37
shift outward of the Phillips curve,permanently higher unemployment,implies achieving 2% target sustainably,The stylized Phillips curve example shows why a shift outward of the curve implies that achieving the 2% target sustainably would be associated with permanently higher unemployment and lower aggregate demand.,NA,NA,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_38
shift outward of the Phillips curve,lower aggregate demand,implies achieving 2% target sustainably,The stylized Phillips curve example shows why a shift outward of the curve implies that achieving the 2% target sustainably would be associated with permanently higher unemployment and lower aggregate demand.,NA,NA,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_39
ratcheting-up and persistently high inflation in 1970s,long duration of elevated unemployment,required to bring inflation back down,"The 1970s, with ratcheting-up and persistently high inflation, required a long duration of elevated unemployment to bring inflation back down.",NA,NA,NA,PAST,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_40
tighter policy stance now working through expectations,reduces degree of restraint to aggregate demand in the future,reduces,A tighter policy stance now working through expectations reduces the degree of restraint to aggregate demand in the future.,NA,NA,in the future,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_41
firms believe monetary policy will keep Phillips curve from shifting,incorporate that into their price expectations,like the self-fulfilling prophecy on recessions,"Like the self-fulfilling prophecy on recessions, if firms believe that monetary policy will keep the Phillips curve from shifting, then they will incorporate that into their price expectations.",NA,if,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_42
complementarity in firms price setting,lower macro inflation,generates through firms micro decisions,Complementarity in firms price setting generates lower macro inflation through firms micro decisions.,NA,NA,NA,PRESENT,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_43
monetary policy does not affect expectations formation,drift in medium-term expectations yields worrisome shift of Phillips curve,more likely to yield,"On the other hand, if monetary policy does not affect expectations formation - either because it is not forceful enough or if the required path is not credible -the drift in medium-term expectations is more likely to yield that worrisome shift of the Phillips curve.",NA,if,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_44
acting more forcefully now,avoid depending on deeper and longer contraction to return inflation to target,designed to ensure drift does not become the norm,"Acting more forcefully now, to ensure that the drift does not become the norm, is designed to avoid depending on a deeper and longer contraction to return inflation to target.",NA,NA,NA,FUTURE,speech_16651_batch_2,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_45
energy prices,inflation below target,Energy prices following their futures curves lead to inflation being below target.,"In the alternative scenario in which energy prices follow their futures curves at the time of forecast, inflation is already below target at that point with 0.9 percent in 2024 Q3.",0.9 percent in 2024 Q3,NA,NA,FUTURE,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_46
negative effects from Covid on sales,firms decreased prices less,Firms facing negative effects from Covid on sales decreased their prices by less.,Some recent evidence for this phenomenon has been documented by Bunn et al. (2022) who show that firms which faced negative effects from Covid on their sales decreased their prices by less than firms increased prices who faced positive effects.,NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_47
positive effects from Covid on sales,firms increased prices more,Firms facing positive effects from Covid on sales increased their prices more.,Some recent evidence for this phenomenon has been documented by Bunn et al. (2022) who show that firms which faced negative effects from Covid on their sales decreased their prices by less than firms increased prices who faced positive effects.,NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_48
real rate increase,inflation decrease,Real rate needs to increase to bring inflation down.,"Traditionally, to ensure a stable equilibrium, the real rate needs to increase to bring inflation down (i.e. nominal interest rate needs to rise by more than the rate of inflation).",NA,NA,NA,PRESENT,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_49
central bank increasing nominal rate more,determinacy conditions met,Central bank needs to increase the nominal rate by a lot more for a given increase in inflation to meet determinacy conditions during high trend inflation.,"Ascari & Sbordone (2014) show, however, that during times of high trend inflation, conditions for determinacy become more extreme and the central bank needs to increase the nominal rate by a lot more for a given increase in inflation than when trend inflation is low.",NA,NA,NA,PRESENT,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_50
inflation expectations anchored,difficulty stimulating economy,Anchored inflation expectations and interest rates at the lower bound make it difficult to stimulate the economy through aggregate demand.,"As inflation expectations became anchored at or even below the central banks targets, and interest rates were at the effective lower bound, it became much more difficult to stimulate the economy through the aggregate demand channel.",NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_51
furlough scheme introduction,unemployment rate not rising,Furlough scheme prevented the unemployment rate from rising in the UK.,This is true even if accounting for the introduction of the furlough scheme which prevented the unemployment rate from rising in the UK.,NA,NA,NA,PAST,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_52
energy prices,3 percentage points of current inflation,Energy prices directly attributed to 3 percentage points of current inflation.,Chart 2.16 in the August 2022 Monetary Policy Report shows that about 3 percentage points of current inflation can be directly attributed to energy prices.,3 percentage points,NA,NA,PRESENT,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_53
energy prices,7 percentage points of inflation,Energy prices projected to contribute 7 percentage points to inflation by the end of the year.,Their contribution is projected to increase to 7 percentage points by the end of the year.,7 percentage points,NA,by the end of the year,FUTURE,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_54
announcements of rate changes,household expectations affected,Announcements of rate changes significantly affect household expectations.,"A paper with a similar identification scheme is Rast (2022) who, using German time series data on inflation expectations and monetary policy announcements, also finds that announcements of rate changes significantly affect household expectations.",NA,NA,NA,PRESENT,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_55
expectations reacting immediately,inflation adjusting before real economy,Expectations reacting immediately allows inflation to adjust before the real economy.,"Here, because expectations react immediately but activity is sluggish, inflation can adjust before the real economy.",NA,NA,NA,PRESENT,speech_16651_batch_3,16651,batch_6956d973c7448190addd9d5950fbeab9,16651_56
advanced economy central banks,increase in policy rates,Central banks increased their policy rates in response to economic conditions.,"Published on 06 February 2023 Speech Introduction Over the last week or so, many advanced economy central banks increased their policy rates.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_0
Federal Reserve,increase in policy rate by 25 basis points,The Federal Reserve increased its policy rate as part of monetary policy adjustments.,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",25 basis points,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_1
European Central Bank,increase in policy rate by 50 basis points,The European Central Bank increased its policy rate as part of monetary policy adjustments.,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",50 basis points,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_2
Bank of England,increase in policy rate by 50 basis points,The Bank of England increased its policy rate as part of monetary policy adjustments.,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",50 basis points,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_3
Bank of Canada,signal of policy rate pause,The Bank of Canada signalled a pause in its policy rate adjustments.,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_4
Bank of Japan,maintenance of updated yield curve control target,The Bank of Japan maintained its updated yield curve control target as part of its monetary policy strategy.,"The Federal Reserve increased by 25 basis points, the European Central Bank and the Bank of England by 50, although the Bank of Canada signalled a pause and the Bank of Japan maintained its updated yield curve control target.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_5
turning point in data,inflection in policy paths,Central bankers are responding to turning points in data with changes in their policy paths.,It seems that at least some central bankers are seeing a turning point in data to which they are responding with an inflection in their respective policy paths.,NA,at least some,NA,PRESENT,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_6
turning point in data,re-assessment of policy,A turning point in data leads to a re-assessment of policy related to the central bank's mandate.,"Moreover, what represents a turning point in the data which would lead to a re-assessment of policy is related to the mandate of the central bank.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_7
calibration of policy,impact on inflation,"Calibrating policy affects inflation, which is key for central banks.","Calibrating policy to affect inflation is key for all, but some have to be equally mindful of how policy affects other metrics of macroeconomic performance, for example employment.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_8
calibration of policy,impact on employment,"Calibrating policy affects employment, which is a consideration for some central banks.","Calibrating policy to affect inflation is key for all, but some have to be equally mindful of how policy affects other metrics of macroeconomic performance, for example employment.",NA,NA,NA,PRESENT,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_9
UK labor market conditions,stronger wage growth,Mismatch between labor demand and supply could lead to stronger wage growth.,"If there is a mismatch between UK labour demand and supply, in part driven by the structural changes in the labour market that Covid and lockdowns brought about, and in part due to the rapid rise in production costs for firms resulting from Russias invasion of Ukraine, then wage growth could stay stronger for longer, presenting upside risk to inflation.",NA,could,for longer,FUTURE,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_10
Covid and lockdowns,structural changes in UK labor market,Covid and lockdowns brought about structural changes in the UK labor market.,"If there is a mismatch between UK labour demand and supply, in part driven by the structural changes in the labour market that Covid and lockdowns brought about, and in part due to the rapid rise in production costs for firms resulting from Russias invasion of Ukraine, then wage growth could stay stronger for longer, presenting upside risk to inflation.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_11
Russia's invasion of Ukraine,rise in production costs for firms,Russia's invasion of Ukraine led to a rapid rise in production costs for firms.,"If there is a mismatch between UK labour demand and supply, in part driven by the structural changes in the labour market that Covid and lockdowns brought about, and in part due to the rapid rise in production costs for firms resulting from Russias invasion of Ukraine, then wage growth could stay stronger for longer, presenting upside risk to inflation.",NA,NA,NA,PAST,speech_16652_batch_0,16652,batch_6956d974be6c8190b400250d09687767,16652_12
yield curve inversion,recession indicator,Yield curve inversion is viewed by some as an early indicator of a recession.,"When the slope turns negative, the yield curve is said to be inverted, which is viewed by some as an early indicator of a recession.",NA,viewed by some,NA,PRESENT,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_13
central banks tightening in the short term,recession,"Markets expect central banks to tighten in the short term, which could induce a recession.","For expectations of shorter term yields to be higher than longer term yields, markets must either expect central banks to tighten in the short term and thereby induce a recession, or anticipate central banks needing to cut interest rates at some point in the future in response to a recession.",NA,NA,in the short term,FUTURE,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_14
central banks cutting interest rates in the future,response to recession,Markets anticipate central banks needing to cut interest rates in the future in response to a recession.,"For expectations of shorter term yields to be higher than longer term yields, markets must either expect central banks to tighten in the short term and thereby induce a recession, or anticipate central banks needing to cut interest rates at some point in the future in response to a recession.",NA,NA,at some point in the future,FUTURE,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_15
households willing to pay prices,firms realizing expected pricing power,Only if households are willing to pay their prices can firms realize their expected pricing power.,Only if households are willing to pay their prices can firms realize their expected pricing power; if there is a buyer revolt that could signal a turning point.,NA,NA,NA,PRESENT,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_16
buyer revolt,turning point signal,A buyer revolt could signal a turning point.,Only if households are willing to pay their prices can firms realize their expected pricing power; if there is a buyer revolt that could signal a turning point.,NA,could,NA,FUTURE,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_17
"global energy, food, and goods prices stopping rising",deceleration of inflation,"The assumption that global energy, food, and goods prices are expected to stop rising contributes to the deceleration of inflation.","Broadly speaking, the deceleration of inflation in the forecast in 2025 comes from, on the one hand, the assumption that global energy, food, and goods prices are expected to stop rising as dramatically as they did in 2021 and 2022 or even outright fall - though not to prior levels as can be seen on the left-hand side - but also that expected weakness in demand relative to supply should discipline domestic price and wage setting.",NA,NA,in 2025,FUTURE,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_18
expected weakness in demand relative to supply,discipline in domestic price and wage setting,Expected weakness in demand relative to supply should discipline domestic price and wage setting.,"Broadly speaking, the deceleration of inflation in the forecast in 2025 comes from, on the one hand, the assumption that global energy, food, and goods prices are expected to stop rising as dramatically as they did in 2021 and 2022 or even outright fall - though not to prior levels as can be seen on the left-hand side - but also that expected weakness in demand relative to supply should discipline domestic price and wage setting.",NA,should,in 2025,FUTURE,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_19
large fiscal stimulus in the US,inflationary surges,Large fiscal stimulus in the US caused distinct inflationary surges.,"The US looks different first with distinct inflationary surges taking inflation to double digits, on account of large fiscal stimulus, even though the US was never as exposed to high energy prices as the rest of the world.",NA,NA,NA,PAST,speech_16652_batch_1,16652,batch_6956d974be6c8190b400250d09687767,16652_20
shift up and steepness of the curve,market expectations of the path that the MPC would need to take,reflects,The shift up and steepness of the curve as well as its reversal reflect market expectations of the path that the MPC would need to take in order to meet its target.,NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_21
unexpected increase in inflation,nominal interest rate must rise by more than one-for-one,requires,"A seemingly more direct criterion is the Taylor principle[6] That is, in response to an unexpected increase in inflation, the nominal interest rate must rise by more than one-for-one, such that the real rate increases.",NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_22
unexpected increase in inflation,real rate increases,causes,"A seemingly more direct criterion is the Taylor principle[6] That is, in response to an unexpected increase in inflation, the nominal interest rate must rise by more than one-for-one, such that the real rate increases.",NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_23
falling real rate,consumption and investment decisions become cheaper,makes,"If we think that expected real returns are what determine consumption and investment decisions, all other things equal, a falling real rate ought to make these cheaper (and thereby stimulate the economy) and a rising real rate ought to make these more expensive.",NA,If,NA,PRESENT,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_24
rising real rate,consumption and investment decisions become more expensive,makes,"If we think that expected real returns are what determine consumption and investment decisions, all other things equal, a falling real rate ought to make these cheaper (and thereby stimulate the economy) and a rising real rate ought to make these more expensive.",NA,If,NA,PRESENT,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_25
real rates fall in response to an inflationary shock,stance of monetary policy becomes more expansionary,causes,"If real rates fall in response to an inflationary shock, the stance of monetary policy actually becomes more expansionary regardless of the direction of nominal rates.",NA,NA,NA,PRESENT,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_26
nominal rates rose but never enough to offset the rising inflationary momentum,real rates fell,caused,"Arguably, this is exactly what happened in the 1970s: nominal rates rose but never enough to offset the rising inflationary momentum. As a result, real rates actually fell which allowed inflation to become entrenched.",NA,Arguably,NA,PAST,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_27
real rates fell,inflation became entrenched,allowed,"Arguably, this is exactly what happened in the 1970s: nominal rates rose but never enough to offset the rising inflationary momentum. As a result, real rates actually fell which allowed inflation to become entrenched.",NA,Arguably,NA,PAST,speech_16652_batch_2,16652,batch_6956d974be6c8190b400250d09687767,16652_28
